Mod,Plot,Type,Distance,Side,UniqueID,Altitude,Decl1,Decl2,Decl3,Decl4,Aspecto,Prof1,Prof2,Prof3,Prof4,Rocha1,Rocha2,Rocha3,Rocha4,Solo1,Solo2,Solo3,Solo4,Biom1,Biom2,Biom3,Biom4,Serra1,Serra2,Serra3,Serra4,esp_serra1,esp_serra2,esp_serra3,esp_serra4,grimpa1,grimpa2,grimpa3,grimpa4,hmax,dossel,agua,Gado,Veg,Fogo,tipo.veg,obs,obs2,data
1,M01T01,Terrestre,25,J,TN500_25_J,1550,19,14.5,20,26,345,30,15,25,51,0,0,1,10,0,1,0,8,15,8,10,10,85,91,89,72,2,1.4,2,2.5,18,10,16,5,16,13.795625,,Sim,Carazal,,FOM,,,11/2/2020
1,M01T01,Terrestre,75,J,TN500_75_J,1550,40,40,40,40,300,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,47.2328125,,Sim,Taquaral,,FOM,,,11/2/2020
1,M01T01,Terrestre,125,J,TN500_125_J,1550,33.5,16,18,26,305,51,51,20,40,0,0,0,0,0,0,0,0,5,8,5,5,95,92,95,95,5,3,5,2.5,5,6,10,15,14,16.75875,,Sim,,,FOM,bem na estrada,,11/2/2020
1,M01T01,Terrestre,175,J,TN500_175_J,1550,11,10,15.3,14,300,51,51,45,46,0,0,5,20,0,0,10,0,2,0,1,0,98,100,84,80,5,5.6,9,4,0,0,0,2,12,18.03,,Sim,Dicksonia sellowiana,,FOM,bem na estrada,,11/2/2020
1,M01T01,Terrestre,225,J,TN500_225_J,1550,20,16,25,20,300,51,20,51,51,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,5,7,4,7.5,6,30,10,5,16,23.51,,Sim,Araucaria angustifolia + Dicksonia sellowiana,,FOM,,,11/2/2020
1,M01T01,Terrestre,25,M,TN500_25_M,1550,47,20,45,46,345,51,10,51,10,30,20,40,5,0,0,0,0,2,0,0,0,68,80,60,95,4,3,4,2,40,30,60,15,18,12.45520833,,Sim,Araucaria angustifolia + Dicksonia sellowiana,,FOM,,,11/2/2020
1,M01T01,Terrestre,75,M,TN500_75_M,1550,33,38,31,16,300,25,51,26,40,60,0,0,0,0,0,0,0,0,0,1,5,40,100,99,95,6,11,2,3.1,0,0,2,2,12,19.32083333,,Sim,Dicksonia sellowiana,,FOM,,,11/2/2020
1,M01T01,Terrestre,125,M,TN500_125_M,1550,0.1,0.1,0.1,0.1,310,30,10,12,20,0,4,0,0,0,0,0,0,95,76,94,100,5,20,6,0,0.1,0.2,0.1,0,5,0,6,1,7.5,55.67125,,Sim,,,FOM,,,11/2/2020
1,M01T01,Terrestre,175,M,TN500_175_M,1550,44,42,28,40,315,0,13,51,40,100,5,0,40,0,60,50,50,0,0,0,0,0,35,50,10,0,6,6,10,0,0,0,0,11.5,21.53541667,,Sim,Dicksonia sellowiana,,FOM,,,11/2/2020
1,M01T01,Terrestre,225,M,TN500_225_M,1550,18,20,13,12,285,5,51,51,20,30,0,0,0,0,0,0,0,0,0,5,5,70,100,95,95,8.5,4.3,5.3,4,0,0,5,1,11,21.27177083,,Sim,Dicksonia sellowiana,,FOM,,,11/2/2020
1,M01T02,Terrestre,25,J,TN1500_25_J,1459,19,19,19,19,70,27,27,27,27,0,0,0,0,5,8,5,8,3,10,5,5,92,82,90,87,0.3,0.6,0.3,0.2,0,0,0,0,2.8,76.8653125,,,Baccharis uncinella,Fogo,FOM-CAMPO,,,
1,M01T02,Terrestre,75,J,TN1500_75_J,1459,14,14,14,14,70,40,40,40,40,0,5,40,5,15,0,0,15,10,15,4,20,75,80,56,60,2,0.6,0.5,0.2,0,0,0,0,2,84.52385417,,,Baccharis uncinella,Fogo,FOM-CAMPO,,,
1,M01T02,Terrestre,125,J,TN1500_125_J,1459,13,13,13,13,70,25,25,25,25,10,30,0,0,0,0,0,0,1,1,3,1,89,69,97,99,1.8,2.8,3,2.3,0,0,0,0,10,55.89989583,,,Araucaria angustifolia,Fogo,FOM-CAMPO,,,
1,M01T02,Terrestre,175,J,TN1500_175_J,1459,30,30,30,30,70,51,51,51,51,50,5,0,0,0,0,0,0,20,5,10,10,30,90,90,90,3.1,2.5,2.6,1.8,5,15,50,70,14,44.21604167,,,,,FOM-CAMPO,,,
