module,name,long,lat,type,name_norm,Antigo_norm,Novo,Existência,nome_final
M1,TN4500,-49.65071931,-28.15764911,Terrestre,TN4500,TN4500,M01T05,SIM,M01T05
M1,TN3500,-49.6417543,-28.15336888,Terrestre,TN3500,TN3500,M01T04,SIM,M01T04
M1,TN2500,-49.63279004,-28.14908809,Terrestre,TN2500,TN2500,M01T03,SIM,M01T03
M1,TN1500,-49.6238265,-28.14480674,Terrestre,TN1500,TN1500,M01T02,SIM,M01T02
M1,TN0500,-49.6148637,-28.14052481,Terrestre,TN0500,TN0500,M01T01,SIM,M01T01
M1,TS0500,-49.61000822,-28.14845756,Terrestre,TS0500,TS0500,M01T06,SIM,M01T06
M1,TS1500,-49.61897147,-28.1527398,Terrestre,TS1500,TS1500,M01T07,SIM,M01T07
M1,TS2500,-49.62793544,-28.15702149,Terrestre,TS2500,TS2500,M01T08,SIM,M01T08
M1,TS3500,-49.63690015,-28.16130261,Terrestre,TS3500,TS3500,M01T09,SIM,M01T09
M1,TS4500,-49.64586558,-28.16558317,Terrestre,TS4500,TS4500,M01T10,SIM,M01T10
M1,TN4000,-49.64544621,-28.15513165,Ripária,TN4000,TN4000,M01R02,SIM,M01R02
M1,TN1300,-49.62085783,-28.14338879,Ripária,TN1300,TN1300,M01R01,SIM,M01R01
M1,TL0900,-49.6062105,-28.1451995,Ripária,TL0900,TL0900,M01R05,SIM,M01R05
M1,TS0150,-49.60624506,-28.14665941,Ripária,TS0150,TS0150,M01R03,SIM,M01R03
M1,TS1845,-49.62206546,-28.15422346,Ripária,TS1845,TS1845,M01R04,SIM,M01R04
M2,TL054_RIP8,-49.497206,-28.076417,Ripária,TL054_RIP8,,,,TL054_RIP8
M2,TL077_RIP7,-49.493803,-28.086817,Ripária,TL077_RIP7,,,,TL077_RIP7
M2,TL1500,-49.493519,-28.087684,Terrestre,TL1500,TL1500,M02T07,NÃO,M02T07
M2,TL2500,-49.490683,-28.096351,Terrestre,TL2500,TL2500,M02T08,NÃO,M02T08
M2,TL3500_PSA2,-49.487847,-28.105018,Terrestre,TL3500_PSA2,,,,TL3500_PSA2
M2,RIP_PSA3,-49.48559,-28.10757,Ripária,RIP_PSA3,,,,RIP_PSA3
M2,TL4200_RIP,-49.485577,-28.111952,Ripária,TL4200_RIP,,,,TL4200_RIP
M2,TL4500_PSA1,-49.48501,-28.113685,Terrestre,TL4500_PSA1,,,,TL4500_PSA1
M2,RIP_PSA8,-49.4856,-28.1159,Ripária,RIP_PSA8,,,,RIP_PSA8
M2,TN066_RIP9,-49.499239,-28.07506,Ripária,TN066_RIP9,,,,TN066_RIP9
M2,TW144_RIP1,-49.506836,-28.079364,Ripária,TW144_RIP1,,,,TW144_RIP1
M2,TW1500,-49.503293,-28.090199,Terrestre,TW1500,TW1500,M02T02,SIM,M02T02
M2,TW125_RIP2_PSA7,-49.504143,-28.087598,Ripária,TW125_RIP2_PSA7,,,,TW125_RIP2_PSA7
M2,TW2500,-49.500457,-28.098866,Terrestre,TW2500,TW2500,M02T03,NÃO,M02T03
M2,TW105_RIP3,-49.501308,-28.096266,Ripária,TW105_RIP3,,,,TW105_RIP3
M2,TL400_PSA4,-49.496336,-28.079063,Terrestre,TL400_PSA4,TL400_PSA4,M02T06,SIM,M02T06
M2,TW092_RIP4,-49.499465,-28.1019,Ripária,TW092_RIP4,,,,TW092_RIP4
M2,TW3500,-49.497621,-28.107533,Terrestre,TW3500,TW3500,M02T04,SIM,M02T04
M2,TW065_RIP5_PSA9,-49.495494,-28.114034,Ripária,TW065_RIP5_PSA9,TW065_RIP5_PSA9,M02R01,SIM,M02R01
M2,TW4500,-49.494785,-28.116201,Terrestre,TW4500,TW4500,M02T05,SIM,M02T05
M2,TW4600,-49.494501,-28.117067,Ripária,TW4600,,,,TW4600
M3,T1,-49.38598501,-28.18363003,Terrestre,T1,T1,M03T01,SIM,M03T01
M3,T2,-49.39401667,-28.17773333,Terrestre,T2,T2,M03T02,SIM,M03T02
M3,T3,-49.38645989,-28.17458493,Terrestre,T3,T3,M03T03,SIM,M03T03
M3,T4,-49.40258333,-28.18523333,Terrestre,T4,T4,M03T04,SIM,M03T04
M3,T5,-49.38915681,-28.19226683,Terrestre,T5,T5,M03T05,SIM,M03T05
M3,T6,-49.38948304,-28.15307244,Terrestre,T6,T6,M03T06,SIM,M03T06
M3,T7,-49.41484168,-28.12335416,Terrestre,T7,T7,M03T07,SIM,M03T07
M3,T8,-49.40552023,-28.17459036,Terrestre,T8,T8,M03T08,SIM,M03T08
M3,T9,-49.42098333,-28.13781666,Terrestre,T9,T9,M03T09,SIM,M03T09
M3,T10,-49.42465,-28.16696667,Terrestre,T10,T10,M03T10,SIM,M03T10
M3,R1,-49.38759685,-28.17755066,Ripária,R1,R1,M03R01,SIM,M03R01
M3,R2,-49.40934553,-28.16980829,Ripária,R2,R2,M03R02,SIM,M03R02
M3,R3,-49.40345968,-28.182885,Ripária,R3,R3,M03R03,SIM,M03R03
