Antigo,Novo,Existência
TN0500,M01T01,SIM
TN1500,M01T02,SIM
TN2500,M01T03,SIM
TN3500,M01T04,SIM
TN4500,M01T05,SIM
TS0500,M01T06,SIM
TS1500,M01T07,SIM
TS2500,M01T08,SIM
TS3500,M01T09,SIM
TS4500,M01T10,SIM
TN1300,M01R01,SIM
TN4000,M01R02,SIM
TS0150,M01R03,SIM
TS1845,M01R04,SIM
TL0900,M01R05,SIM
TW0500,M02T01,NÃO
TW1500,M02T02,SIM
TW2500,M02T03,NÃO
TW3500,M02T04,SIM
TW4500,M02T05,SIM
TL400_PSA4,M02T06,SIM
TL1500,M02T07,NÃO
TL2500,M02T08,NÃO
TL3500,M02T09,NÃO
TL4500,M02T10,NÃO
TW065_RIP5_PSA9,M02R01,SIM
NÃO CONSTA,M02R02,NÃO
NÃO CONSTA,M02R03,NÃO
NÃO CONSTA,M02R04,NÃO
NÃO CONSTA,M02R05,NÃO
T1,M03T01,SIM
T2,M03T02,SIM
T3,M03T03,SIM
T4,M03T04,SIM
T5,M03T05,SIM
T6,M03T06,SIM
T7,M03T07,SIM
T8,M03T08,SIM
T9,M03T09,SIM
T10,M03T10,SIM
R1,M03R01,SIM
R2,M03R02,SIM
R3,M03R03,SIM
NÃO CONSTA,M03R04,NÃO
NÃO CONSTA,M03R05,NÃO
