module;name;long;lat;type
M1;TN4500;-49.65071931;-28.15764911;Terrestre
M1;TN3500;-49.6417543;-28.15336888;Terrestre
M1;TN2500;-49.63279004;-28.14908809;Terrestre
M1;TN1500;-49.6238265;-28.14480674;Terrestre
M1;TN0500;-49.6148637;-28.14052481;Terrestre
M1;TS0500;-49.61000822;-28.14845756;Terrestre
M1;TS1500;-49.61897147;-28.1527398;Terrestre
M1;TS2500;-49.62793544;-28.15702149;Terrestre
M1;TS3500;-49.63690015;-28.16130261;Terrestre
M1;TS4500;-49.64586558;-28.16558317;Terrestre
M1;TN4000;-49.64544621;-28.15513165;Ripária
M1;TN1300;-49.62085783;-28.14338879;Ripária
M1;TL0900;-49.6062105;-28.1451995;Ripária
M1;TS0150;-49.60624506;-28.14665941;Ripária
M1;TS1845;-49.62206546;-28.15422346;Ripária
M2;TL054_RIP8;-49.497206;-28.076417;Ripária
M2;TL077_RIP7;-49.493803;-28.086817;Ripária
M2;TL1500;-49.493519;-28.087684;Terrestre
M2;TL2500;-49.490683;-28.096351;Terrestre
M2;TL3500_PSA2;-49.487847;-28.105018;Terrestre
M2;RIP_PSA3;-49.48559;-28.10757;Ripária
M2;TL4200_RIP;-49.485577;-28.111952;Ripária
M2;TL4500_PSA1;-49.48501;-28.113685;Terrestre
M2;RIP_PSA8;-49.4856;-28.1159;Ripária
M2;TN066_RIP9;-49.499239;-28.07506;Ripária
M2;TW144_RIP1;-49.506836;-28.079364;Ripária
M2;TW1500;-49.503293;-28.090199;Terrestre
M2;TW125_RIP2_PSA7;-49.504143;-28.087598;Ripária
M2;TW2500;-49.500457;-28.098866;Terrestre
M2;TW105_RIP3;-49.501308;-28.096266;Ripária
M2;TL400_PSA4;-49.496336;-28.079063;Terrestre
M2;TW092_RIP4;-49.499465;-28.1019;Ripária
M2;TW3500;-49.497621;-28.107533;Terrestre
M2;TW065_RIP5_PSA9;-49.495494;-28.114034;Ripária
M2;TW4500;-49.494785;-28.116201;Terrestre
M2;TW4600;-49.494501;-28.117067;Ripária
M3;T1;-49.38598501;-28.18363003;Terrestre
M3;T2;-49.39401667;-28.17773333;Terrestre
M3;T3;-49.38645989;-28.17458493;Terrestre
M3;T4;-49.40258333;-28.18523333;Terrestre
M3;T5;-49.38915681;-28.19226683;Terrestre
M3;T6;-49.38948304;-28.15307244;Terrestre
M3;T7;-49.41484168;-28.12335416;Terrestre
M3;T8;-49.40552023;-28.17459036;Terrestre
M3;T9;-49.42098333;-28.13781666;Terrestre
M3;T10;-49.42465;-28.16696667;Terrestre
M3;R1;-49.38759685;-28.17755066;Ripária
M3;R2;-49.40934553;-28.16980829;Ripária
M3;R3;-49.40345968;-28.182885;Ripária
