module,name,long,lat,type
M1,M01T05,-49.65071931,-28.15764911,Terrestre
M1,M01T04,-49.6417543,-28.15336888,Terrestre
M1,M01T03,-49.63279004,-28.14908809,Terrestre
M1,M01T02,-49.6238265,-28.14480674,Terrestre
M1,M01T01,-49.6148637,-28.14052481,Terrestre
M1,M01T06,-49.61000822,-28.14845756,Terrestre
M1,M01T07,-49.61897147,-28.1527398,Terrestre
M1,M01T08,-49.62793544,-28.15702149,Terrestre
M1,M01T09,-49.63690015,-28.16130261,Terrestre
M1,M01T10,-49.64586558,-28.16558317,Terrestre
M1,M01R02,-49.64544621,-28.15513165,Ripária
M1,M01R01,-49.62085783,-28.14338879,Ripária
M1,M01R05,-49.6062105,-28.1451995,Ripária
M1,M01R03,-49.60624506,-28.14665941,Ripária
M1,M01R04,-49.62206546,-28.15422346,Ripária
M2,M02T02,-49.503293,-28.090199,Terrestre
M2,M02T06,-49.496336,-28.079063,Terrestre
M2,M02T04,-49.497621,-28.107533,Terrestre
M2,M02R01,-49.495494,-28.114034,Ripária
M2,M02T05,-49.494785,-28.116201,Terrestre
M3,M03T01,-49.38598501,-28.18363003,Terrestre
M3,M03T02,-49.39401667,-28.17773333,Terrestre
M3,M03T03,-49.38645989,-28.17458493,Terrestre
M3,M03T04,-49.40258333,-28.18523333,Terrestre
M3,M03T05,-49.38915681,-28.19226683,Terrestre
M3,M03T06,-49.38948304,-28.15307244,Terrestre
M3,M03T07,-49.41484168,-28.12335416,Terrestre
M3,M03T08,-49.40552023,-28.17459036,Terrestre
M3,M03T09,-49.42098333,-28.13781666,Terrestre
M3,M03T10,-49.42465,-28.16696667,Terrestre
M3,M03R01,-49.38759685,-28.17755066,Ripária
M3,M03R02,-49.40934553,-28.16980829,Ripária
M3,M03R03,-49.40345968,-28.182885,Ripária
