Mod,Plot,Type,Distance,Side,UniqueID,Altitude,Decl1,Decl2,Decl3,Decl4,Aspecto,Prof1,Prof2,Prof3,Prof4,Rocha1,Rocha2,Rocha3,Rocha4,Solo1,Solo2,Solo3,Solo4,Biom1,Biom2,Biom3,Biom4,Serra1,Serra2,Serra3,Serra4,esp_serra1,esp_serra2,esp_serra3,esp_serra4,grimpa1,grimpa2,grimpa3,grimpa4,hmax,dossel,agua,Gado,Veg,Fogo,tipo.veg,obs,obs2,data,Biomass_mean,Serra_mean,Species_richness
1,M01T01,Terrestre,25,J,TN500_25_J,1550.0,19.0,14.5,20.0,26.0,345.0,30.0,15.0,25.0,51.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,8.0,15.0,8.0,10.0,10.0,85.0,91.0,89.0,72.0,2.0,1.4,2.0,2.5,18.0,10.0,16.0,5.0,16.0,13.795625,100.0,1.0,,,FOM,,,11/2/2020,10.75,84.25,7.9
1,M01T01,Terrestre,75,J,TN500_75_J,1550.0,40.0,40.0,40.0,40.0,300.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,47.2328125,100.0,1.0,,,FOM,,,11/2/2020,0.0,0.0,0.0
1,M01T01,Terrestre,125,J,TN500_125_J,1550.0,33.5,16.0,18.0,26.0,305.0,51.0,51.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,5.0,5.0,95.0,92.0,95.0,95.0,5.0,3.0,5.0,2.5,5.0,6.0,10.0,15.0,14.0,16.75875,100.0,1.0,,,FOM,bem na estrada,,11/2/2020,5.75,94.25,15.5
1,M01T01,Terrestre,175,J,TN500_175_J,1550.0,11.0,10.0,15.3,14.0,300.0,51.0,51.0,45.0,46.0,0.0,0.0,5.0,20.0,0.0,0.0,10.0,0.0,2.0,0.0,1.0,0.0,98.0,100.0,84.0,80.0,5.0,5.6,9.0,4.0,0.0,0.0,0.0,2.0,12.0,18.03,100.0,1.0,,,FOM,bem na estrada,,11/2/2020,0.75,90.5,23.6
1,M01T01,Terrestre,225,J,TN500_225_J,1550.0,20.0,16.0,25.0,20.0,300.0,51.0,20.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,5.0,7.0,4.0,7.5,6.0,30.0,10.0,5.0,16.0,23.51,100.0,1.0,,,FOM,,,11/2/2020,0.0,100.0,23.5
1,M01T01,Terrestre,25,M,TN500_25_M,1550.0,47.0,20.0,45.0,46.0,345.0,51.0,10.0,51.0,10.0,30.0,20.0,40.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,68.0,80.0,60.0,95.0,4.0,3.0,4.0,2.0,40.0,30.0,60.0,15.0,18.0,12.45520833,100.0,1.0,,,FOM,,,11/2/2020,0.5,75.75,13.0
1,M01T01,Terrestre,75,M,TN500_75_M,1550.0,33.0,38.0,31.0,16.0,300.0,25.0,51.0,26.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,40.0,100.0,99.0,95.0,6.0,11.0,2.0,3.1,0.0,0.0,2.0,2.0,12.0,19.32083333,100.0,1.0,,,FOM,,,11/2/2020,1.5,83.5,22.1
1,M01T01,Terrestre,125,M,TN500_125_M,1550.0,0.1,0.1,0.1,0.1,310.0,30.0,10.0,12.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,76.0,94.0,100.0,5.0,20.0,6.0,0.0,0.1,0.2,0.1,0.0,5.0,0.0,6.0,1.0,7.5,55.67125,100.0,1.0,,,FOM,,,11/2/2020,91.25,7.75,0.4
1,M01T01,Terrestre,175,M,TN500_175_M,1550.0,44.0,42.0,28.0,40.0,315.0,0.0,13.0,51.0,40.0,100.0,5.0,0.0,40.0,0.0,60.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,35.0,50.0,10.0,0.0,6.0,6.0,10.0,0.0,0.0,0.0,0.0,11.5,21.53541667,100.0,1.0,,,FOM,,,11/2/2020,0.0,23.75,22.0
1,M01T01,Terrestre,225,M,TN500_225_M,1550.0,18.0,20.0,13.0,12.0,285.0,5.0,51.0,51.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,70.0,100.0,95.0,95.0,8.5,4.3,5.3,4.0,0.0,0.0,5.0,1.0,11.0,21.27177083,100.0,1.0,,,FOM,,,11/2/2020,2.5,90.0,22.1
