Plot,Matches,Veg_major,Altitude_mean,Altitude_median,Altitude_min,Altitude_max,Altitude_range,hmax_mean,hmax_median,hmax_n,dossel_mean,dossel_median,dossel_n,biom_total_mean,biom_total_median
M01T05,10,FOM-CAMPO,1528.0,1528.0,1528.0,1528.0,0.0,4.65,3.75,10,73.423895834,88.86031249999999,10,220.7,240.0
M01T04,20,FOM,1592.0,1592.0,1592.0,1592.0,0.0,11.25,11.0,20,18.233239584,17.022968749999997,20,48.6,17.0
M01T03,10,FOM,1453.0,1453.0,1453.0,1453.0,0.0,9.05,8.75,10,21.0145,22.604583335,10,4.3,0.0
M01T02,10,FOM-CAMPO,1459.0,1459.0,1459.0,1459.0,0.0,5.98,4.5,10,66.786697917,66.382604165,10,116.3,47.0
M01T01,10,FOM,1550.0,1550.0,1550.0,1550.0,0.0,12.5,12.0,10,24.958166666,20.29630208,10,45.2,4.5
M01T06,10,CAMPO,1500.0,1500.0,1500.0,1500.0,0.0,3.5,2.5,10,90.239229167,97.239895835,10,42.65,37.5
M01T07,10,FOM,1553.0,1553.0,1553.0,1553.0,0.0,10.65,11.5,10,13.48603125,13.784270835000001,10,17.9,16.0
M01T08,10,FOM,1625.0,1625.0,1625.0,1625.0,0.0,13.9,15.0,10,14.6424687484,12.49130208,10,31.9,24.0
M01T09,10,FOM-CAMPO,1640.0,1640.0,1640.0,1640.0,0.0,5.2,5.0,10,56.591802083,45.369583335,10,110.5,49.5
M01T10,10,CAMPO,1670.0,1670.0,1670.0,1670.0,0.0,0.0,0.0,10,100.0,100.0,10,128.4,126.5
M01R02,15,FOM,1504.0,1504.0,1504.0,1504.0,0.0,nan,17.0,15,20.837541666,16.14864583,15,nan,90.0
M01R01,15,FOM,1390.0,1390.0,1390.0,1390.0,0.0,nan,17.0,15,48.74149305666667,45.0859375,15,nan,365.0
M01R05,15,FOM,1455.0,1455.0,1455.0,1455.0,0.0,nan,11.0,15,34.61125,29.34010417,15,nan,12.0
M01R03,15,FOM,1460.0,1460.0,1460.0,1460.0,0.0,nan,18.0,15,35.29415972266666,29.41291667,15,nan,80.0
M01R04,15,FOM,1540.0,1540.0,1540.0,1540.0,0.0,nan,15.0,15,25.659166666866668,25.98447917,15,nan,28.0
M02T02,10,FOM,1604.0,1604.0,1604.0,1604.0,0.0,7.0,6.75,10,21.099020834,17.295104170000002,10,100.2,38.5
M02T06,10,FOM,1407.0,1407.0,1407.0,1407.0,0.0,12.1,11.5,10,25.545791667,20.815833335,10,184.8,152.5
M02T04,10,FOM,1584.0,1584.0,1584.0,1584.0,0.0,5.85,6.5,10,25.305624999,20.448854165,10,67.3,8.0
M02R01,15,nan,1561.0,1561.0,1561.0,1561.0,0.0,nan,nan,15,nan,nan,15,nan,nan
M02T05,10,FOM,1583.0,1583.0,1583.0,1583.0,0.0,12.3,12.5,10,19.0834895826,18.20125,10,13.3,12.0
M03T01,10,FOD,500.0,500.0,500.0,500.0,0.0,13.5,12.0,10,14.001729167,13.771927085,10,13.75,15.0
M03T02,10,FOD,610.0,610.0,610.0,610.0,0.0,nan,nan,10,nan,nan,10,nan,nan
M03T03,10,FOD,600.0,600.0,600.0,600.0,0.0,16.1,16.0,10,21.3528124997,20.503489585,10,12.4,13.0
M03T04,10,FOD,529.0,529.0,529.0,529.0,0.0,nan,nan,10,nan,nan,10,nan,nan
M03T05,10,FOD,508.0,508.0,508.0,508.0,0.0,8.85,8.25,10,22.8570520833,15.779114585,10,132.6,101.0
M03T06,10,FOD,643.0,643.0,643.0,643.0,0.0,nan,nan,10,nan,nan,10,nan,nan
M03T07,10,FOD,752.0,752.0,752.0,752.0,0.0,nan,nan,10,nan,nan,10,nan,nan
M03T08,10,FOD,535.0,535.0,535.0,535.0,0.0,nan,nan,10,nan,nan,10,nan,nan
M03T09,10,FOD,666.0,666.0,666.0,666.0,0.0,nan,nan,10,nan,nan,10,nan,nan
M03T10,10,FOD,675.0,675.0,675.0,675.0,0.0,nan,nan,10,nan,nan,10,nan,nan
M03R01,15,FOD,565.0,565.0,565.0,565.0,0.0,nan,20.0,15,16.368201389133333,13.42083333,15,nan,20.0
M03R02,15,FOD,470.0,470.0,470.0,470.0,0.0,nan,15.0,15,43.525486110866666,35.32135417,15,nan,60.0
M03R03,15,FOD,510.0,510.0,510.0,510.0,0.0,nan,17.0,15,20.491236111333333,16.86302083,15,nan,17.0
