Plot,Matches,UniqueIDs,Sample_Antigo,Sample_UniqueIDs
M01T05,10,10,TN4500,"TN4500_125_J,TN4500_125_M,TN4500_175_J,TN4500_175_M,TN4500_225_J"
M01T04,20,10,TN3500,"TN3500_125_J,TN3500_125_M,TN3500_175_J,TN3500_175_M,TN3500_225_J"
M01T03,10,10,TN2500,"TN2500_125_J,TN2500_125_M,TN2500_175_J,TN2500_175_M,TN2500_225_J"
M01T02,10,10,TN1500,"TN1500_125_J,TN1500_125_M,TN1500_175_J,TN1500_175_M,TN1500_225_J"
M01T01,10,10,TN0500,"TN500_125_J,TN500_125_M,TN500_175_J,TN500_175_M,TN500_225_J"
M01T06,10,10,TS0500,"TS500_125_J,TS500_125_M,TS500_175_J,TS500_175_M,TS500_225_J"
M01T07,10,10,TS1500,"TS1500_125_J,TS1500_125_M,TS1500_175_J,TS1500_175_M,TS1500_225_J"
M01T08,10,10,TS2500,"TS2500_125_J,TS2500_125_M,TS2500_175_J,TS2500_175_M,TS2500_225_J"
M01T09,10,10,TS3500,"TS3500_125_J,TS3500_125_M,TS3500_175_J,TS3500_175_M,TS3500_225_J"
M01T10,10,10,TS4500,"TS4500_125_J,TS4500_125_M,TS4500_175_J,TS4500_175_M,TS4500_225_J"
M01R02,15,15,TN4000,"TN4000_125_C,TN4000_125_D,TN4000_125_E,TN4000_175_C,TN4000_175_D"
M01R01,15,15,TN1300,"TN1169_125_C,TN1169_125_D,TN1169_125_E,TN1169_175_C,TN1169_175_D"
M01R05,15,15,TL0900,"L859_125_C,L859_125_D,L859_125_E,L859_175_C,L859_175_D"
M01R03,15,15,TS0150,"S0080_125_C,S0080_125_D,S0080_125_E,S0080_175_C,S0080_175_D"
M01R04,15,15,TS1845,"TS1845_125_C,TS1845_125_D,TS1845_125_E,TS1845_175_C,TS1845_175_D"
M02T02,10,10,TW1500,"TW1500_125_J,TW1500_125_M,TW1500_175_J,TW1500_175_M,TW1500_225_J"
M02T06,10,10,TL400_PSA4,"TL400_125_J,TL400_125_M,TL400_175_J,TL400_175_M,TL400_225_J"
M02T04,10,10,TW3500,"TW3500_125_J,TW3500_125_M,TW3500_175_J,TW3500_175_M,TW3500_225_J"
M02R01,15,15,TW065_RIP5_PSA9,"_125_C,_125_J,_125_M,_175_C,_175_J"
M02T05,10,10,TW4500,"TW4500_125_J,TW4500_125_M,TW4500_175_J,TW4500_175_M,TW4500_225_J"
M03T01,10,10,T1,"T01_125_J,T01_125_M,T01_175_J,T01_175_M,T01_225_J"
M03T02,10,10,T2,"T02_125_J,T02_125_M,T02_175_J,T02_175_M,T02_225_J"
M03T03,10,10,T3,"T03_125_J,T03_125_M,T03_175_J,T03_175_M,T03_225_J"
M03T04,10,10,T4,"T04_125_J,T04_125_M,T04_175_J,T04_175_M,T04_225_J"
M03T05,10,10,T5,"T05_125_J,T05_125_M,T05_175_J,T05_175_M,T05_225_J"
M03T06,10,10,T6,"T06_125_J,T06_125_M,T06_175_J,T06_175_M,T06_225_J"
M03T07,10,10,T7,"T07_125_J,T07_125_M,T07_175_J,T07_175_M,T07_225_J"
M03T08,10,10,T8,"T08_125_J,T08_125_M,T08_175_J,T08_175_M,T08_225_J"
M03T09,10,10,T9,"T09_125_J,T09_125_M,T09_175_J,T09_175_M,T09_225_J"
M03T10,10,10,T10,"T10_125_J,T10_125_M,T10_175_J,T10_175_M,T10_225_J"
M03R01,15,15,R1,"R01_125_C,R01_125_D,R01_125_E,R01_175_C,R01_175_D"
M03R02,15,15,R2,"R02_125_C,R02_125_D,R02_125_E,R02_175_C,R02_175_D"
M03R03,15,15,R3,"R03_125_C,R03_125_D,R03_125_E,R03_175_C,R03_175_D"
