Plot,Matches,TipoVeg_Majoritario,Altitude_mean,hmax_mean,dossel_mean,Altitude_median,hmax_median,dossel_median,Biom_total_mean,Biom_total_median,Altitude_count
M01T05,10,FOM-CAMPO,1528.0,4.65,73.423895834,1528.0,3.75,88.86031249999999,220.7,240.0,10
M01T04,20,FOM,1592.0,11.25,18.233239584,1592.0,11.0,17.022968749999997,48.6,17.0,20
M01T03,10,FOM,1453.0,9.05,21.0145,1453.0,8.75,22.604583335,4.3,0.0,10
M01T02,10,FOM-CAMPO,1459.0,5.98,66.786697917,1459.0,4.5,66.382604165,116.3,47.0,10
M01T01,10,FOM,1550.0,12.5,24.958166666,1550.0,12.0,20.29630208,45.2,4.5,10
M01T06,10,CAMPO,1500.0,3.5,90.239229167,1500.0,2.5,97.239895835,42.65,37.5,10
M01T07,10,FOM,1553.0,10.65,13.48603125,1553.0,11.5,13.784270835000001,17.9,16.0,10
M01T08,10,FOM,1625.0,13.9,14.6424687484,1625.0,15.0,12.49130208,31.9,24.0,10
M01T09,10,FOM-CAMPO,1640.0,5.2,56.591802083,1640.0,5.0,45.369583335,110.5,49.5,10
M01T10,10,CAMPO,1670.0,0.0,100.0,1670.0,0.0,100.0,128.4,126.5,10
M01R02,15,FOM,1504.0,nan,20.837541666,1504.0,17.0,16.14864583,nan,90.0,15
M01R01,15,FOM,1390.0,nan,48.74149305666667,1390.0,17.0,45.0859375,nan,365.0,15
M01R05,15,FOM,1455.0,nan,34.61125,1455.0,11.0,29.34010417,nan,12.0,15
M01R03,15,FOM,1460.0,nan,35.29415972266666,1460.0,18.0,29.41291667,nan,80.0,15
M01R04,15,FOM,1540.0,nan,25.659166666866668,1540.0,15.0,25.98447917,nan,28.0,15
M02T02,10,FOM,1604.0,7.0,21.099020834,1604.0,6.75,17.295104170000002,100.2,38.5,10
M02T06,10,FOM,1407.0,12.1,25.545791667,1407.0,11.5,20.815833335,184.8,152.5,10
M02T04,10,FOM,1584.0,5.85,25.305624999,1584.0,6.5,20.448854165,67.3,8.0,10
M02R01,15,nan,1561.0,nan,nan,1561.0,nan,nan,nan,nan,15
M02T05,10,FOM,1583.0,12.3,19.0834895826,1583.0,12.5,18.20125,13.3,12.0,10
M03T01,10,FOD,500.0,13.5,14.001729167,500.0,12.0,13.771927085,13.75,15.0,10
M03T02,10,FOD,610.0,nan,nan,610.0,nan,nan,nan,nan,10
M03T03,10,FOD,600.0,16.1,21.3528124997,600.0,16.0,20.503489585,12.4,13.0,10
M03T04,10,FOD,529.0,nan,nan,529.0,nan,nan,nan,nan,10
M03T05,10,FOD,508.0,8.85,22.8570520833,508.0,8.25,15.779114585,132.6,101.0,10
M03T06,10,FOD,643.0,nan,nan,643.0,nan,nan,nan,nan,10
M03T07,10,FOD,752.0,nan,nan,752.0,nan,nan,nan,nan,10
M03T08,10,FOD,535.0,nan,nan,535.0,nan,nan,nan,nan,10
M03T09,10,FOD,666.0,nan,nan,666.0,nan,nan,nan,nan,10
M03T10,10,FOD,675.0,nan,nan,675.0,nan,nan,nan,nan,10
M03R01,15,FOD,565.0,nan,16.368201389133333,565.0,20.0,13.42083333,nan,20.0,15
M03R02,15,FOD,470.0,nan,43.525486110866666,470.0,15.0,35.32135417,nan,60.0,15
M03R03,15,FOD,510.0,nan,20.491236111333333,510.0,17.0,16.86302083,nan,17.0,15
